MST,Max.TemperatureF,Mean.TemperatureF,Min.TemperatureF
2005-1-1,54,45,36
2005-1-2,45,41,37
2005-1-3,48,42,37
2005-1-4,50,42,33
2005-1-5,42,37,26
2005-1-6,39,30,21
2005-1-7,39,32,24
2005-1-8,55,44,34
2005-1-9,57,48,39
2005-1-10,61,50,39
2005-1-11,57,50,44
2005-1-12,42,37,32
2005-1-13,46,37,28
2005-1-14,46,38,30
2005-1-15,51,40,28
2005-1-16,54,42,30
2005-1-17,55,42,30
2005-1-18,57,44,30
2005-1-19,60,46,33
2005-1-20,57,42,28
2005-1-21,55,45,35
2005-1-22,55,48,39
2005-1-23,55,42,28
2005-1-24,55,42,30
2005-1-25,57,46,35
2005-1-26,50,44,39
2005-1-27,44,40,36
2005-1-28,48,40,32
2005-1-29,50,40,30
2005-1-30,39,36,33
2005-1-31,39,34,30
2005-2-1,39,36,32
2005-2-2,44,36,28
2005-2-3,50,38,26
2005-2-4,46,36,27
2005-2-5,46,42,37
2005-2-6,48,44,39
2005-2-7,50,43,36
2005-2-8,48,42,34
2005-2-9,52,39,26
2005-2-10,50,41,32
2005-2-11,45,42,39
2005-2-12,51,48,44
2005-2-13,55,48,37
2005-2-14,57,46,35
2005-2-15,59,50,41
2005-2-16,59,52,44
2005-2-17,52,46,39
2005-2-18,51,46,42
2005-2-19,57,48,39
2005-2-20,53,46,37
2005-2-21,55,45,35
2005-2-22,57,48,39
2005-2-23,55,47,39
2005-2-24,41,38,35
2005-2-25,42,39,35
2005-2-26,48,42,35
2005-2-27,52,42,33
2005-2-28,55,42,30
2005-3-1,52,42,33
2005-3-2,57,46,35
2005-3-3,54,44,33
2005-3-4,57,45,33
2005-3-5,55,48,41
2005-3-6,46,42,37
2005-3-7,57,46,34
2005-3-8,66,52,37
2005-3-9,63,49,35
2005-3-10,69,53,37
2005-3-11,64,52,39
2005-3-12,73,56,39
2005-3-13,70,56,42
2005-3-14,42,36,30
2005-3-15,32,29,26
2005-3-16,45,32,19
2005-3-17,55,42,30
2005-3-18,59,49,39
2005-3-19,53,46,39
2005-3-20,55,48,36
2005-3-21,53,43,33
2005-3-22,57,44,32
2005-3-23,63,53,43
2005-3-24,57,50,43
2005-3-25,48,42,37
2005-3-26,46,40,34
2005-3-27,60,46,32
2005-3-28,69,53,37
2005-3-29,53,44,35
2005-3-30,52,44,37
2005-3-31,51,42,33
2005-4-1,57,44,30
2005-4-2,68,52,37
2005-4-3,71,60,48
2005-4-4,73,58,42
2005-4-5,63,52,42
2005-4-6,68,52,39
2005-4-7,73,58,43
2005-4-8,77,64,51
2005-4-9,66,52,39
2005-4-10,52,42,32
2005-4-11,62,48,34
2005-4-12,68,54,39
2005-4-13,75,58,41
2005-4-14,75,62,48
2005-4-15,78,66,55
2005-4-16,73,61,51
2005-4-17,71,58,46
2005-4-18,75,62,48
2005-4-19,77,62,48
2005-4-20,77,62,46
2005-4-21,70,58,45
2005-4-22,73,60,46
2005-4-23,73,62,50
2005-4-24,61,54,46
2005-4-25,62,53,44
2005-4-26,66,56,45
2005-4-27,72,59,46
2005-4-28,68,56,44
2005-4-29,61,53,44
2005-4-30,69,55,41
2005-5-1,69,57,46
2005-5-2,55,50,45
2005-5-3,61,52,42
2005-5-4,70,57,43
2005-5-5,78,64,49
2005-5-6,77,66,55
2005-5-7,68,57,46
2005-5-8,74,59,44
2005-5-9,77,61,45
2005-5-10,83,68,52
2005-5-11,70,60,49
2005-5-12,73,58,42
2005-5-13,77,63,49
2005-5-14,76,66,55
2005-5-15,76,66,55
2005-5-16,83,67,51
2005-5-17,81,71,60
2005-5-18,80,67,53
2005-5-19,90,73,55
2005-5-20,93,76,58
2005-5-21,96,80,63
2005-5-22,95,80,65
2005-5-23,96,80,64
2005-5-24,94,81,67
2005-5-25,91,76,61
2005-5-26,78,70,61
2005-5-27,83,71,59
2005-5-28,79,67,55
2005-5-29,80,68,56
2005-5-30,82,70,57
2005-5-31,83,69,54
2005-6-1,87,72,57
2005-6-2,85,73,60
2005-6-3,83,71,58
2005-6-4,79,67,54
2005-6-5,85,71,56
2005-6-6,89,73,57
2005-6-7,89,73,57
2005-6-8,87,71,55
2005-6-9,86,71,55
2005-6-10,82,72,61
2005-6-11,85,71,56
2005-6-12,79,66,52
2005-6-13,86,72,57
2005-6-14,90,74,58
2005-6-15,92,80,67
2005-6-16,93,79,65
2005-6-17,93,78,62
2005-6-18,92,77,61
2005-6-19,94,77,59
2005-6-20,96,82,67
2005-6-21,91,81,71
2005-6-22,91,78,64
2005-6-23,93,80,67
2005-6-24,92,78,63
2005-6-25,86,77,68
2005-6-26,90,78,66
2005-6-27,92,78,64
2005-6-28,94,81,67
2005-6-29,97,81,64
2005-6-30,97,79,61
2005-7-1,97,82,66
2005-7-2,96,81,65
2005-7-3,95,81,67
2005-7-4,96,80,64
2005-7-5,94,81,68
2005-7-6,97,84,70
2005-7-7,97,83,69
2005-7-8,97,84,70
2005-7-9,95,81,66
2005-7-10,95,81,67
2005-7-11,99,84,68
2005-7-12,93,83,73
2005-7-13,92,82,71
2005-7-14,97,83,68
2005-7-15,97,85,73
2005-7-16,95,83,70
2005-7-17,98,84,69
2005-7-18,96,82,68
2005-7-19,99,86,72
