SAMPLE_POINT_ID,COLLECTION_DATE,Convert Date,Concantenate (Fake Year),Convert to Date Format (Fake Year),,RESULT,COLLECTION_TIME,SAMPLER,ENTRY_DATE,ANALYSIS_DATE,ANALYTE,STATUS,RESULT,UNITS,SAMPLE_ID,LAB_NAME,ANALYST,SAMPLE_TYPE
142A,14-MAR-11,03/14/11,3-14-2015,03/14/15,49,49,11:20,EPF,11-MAY-11,,HEM - SGT HEM (Oil and Grease),APPROVED,49,MG/L,200328142,HALL,WWUNAA,PR OILTPH 01
142A,21-MAR-11,03/21/11,3-21-2015,Err:502,51.5,51.5,11:08,EPF,05-AUG-11,,HEM - SGT HEM (Oil and Grease),APPROVED,51.5,MG/L,200328478,,WWUNAA,PR OILTPH 0
142A,28-MAR-11,03/28/11,3-28-2015,Err:502,31,31,11:20,ACS,07-APR-11,,HEM - SGT HEM (Oil and Grease),APPROVED,31,MG/L,200328836,,WWUMWM,PR OILTPH 0
142A,04-APR-11,04/04/11,4-4-2015,Err:502,40,40,9:55,ACS,20-APR-11,,HEM - SGT HEM (Oil and Grease),APPROVED,40,MG/L,200329083,,WWUMWM,PR OILTPH 0
142A,11-APR-11,04/11/11,4-11-2015,Err:502,30,30,9:35,ACS,21-APR-11,,HEM - SGT HEM (Oil and Grease),APPROVED,30,MG/L,200329420,,WWUNAA,PR OILTPH 01
142A,25-APR-11,04/25/11,4-25-2015,Err:502,53.2,53.2,08:55,ACS,05-AUG-11,,HEM - SGT HEM (Oil and Grease),APPROVED,53.2,MG/L,200330191,,WWUNAA,PR OILTPH 01
142A,02-MAY-11,05/02/11,5-2-2015,Err:502,44.9,44.9,09:20,ACS,05-AUG-11,,HEM - SGT HEM (Oil and Grease),APPROVED,44.9,MG/L,200330572,,WWUNAA,PR OILTPH 01
142A,16-MAY-11,05/16/11,5-16-2015,Err:502,163.6,163.6,08:25,ACS,05-AUG-11,,HEM - SGT HEM (Oil and Grease),APPROVED,163.6,MG/L,200331436,,WWUNAA,PR OILTPH 01
142A,23-MAY-11,05/23/11,5-23-2015,Err:502,85.6,85.6,8:05,ACS,05-AUG-11,,HEM - SGT HEM (Oil and Grease),APPROVED,85.6,MG/L,200331846,,WWUNAA,PR OILTPH 01
142A,31-MAY-11,05/31/11,5-31-2015,Err:502,26,26,08:25,ACS,05-AUG-11,,HEM - SGT HEM (Oil and Grease),APPROVED,26,MG/L,200332146,,WWUNAA,PR OILTPH 01
142A,06-JUN-11,06/06/11,6-6-2015,Err:502,386,386,09:25,ACS,15-JUL-11,,HEM - SGT HEM (Oil and Grease),APPROVED,386,MG/L,200332398,,WWUNAA,PR OILTPH 01
142A,13-JUN-11,06/13/11,6-13-2015,Err:502,57.4,57.4,08:45,ACS,05-AUG-11,,HEM - SGT HEM (Oil and Grease),APPROVED,57.4,MG/L,200332766,,WWUNAA,PR OILTPH 01
142A,27-JUN-11,06/27/11,6-27-2015,Err:502,61,61,09:30,ACS,15-JUL-11,,HEM - SGT HEM (Oil and Grease),APPROVED,61,MG/L,200333539,,WWUNAA,PR OILTPH 01
142A,20-JUN-11,06/20/11,6-20-2015,Err:502,34.7,34.7,08:40,ACS,15-JUL-11,,HEM - SGT HEM (Oil and Grease),APPROVED,34.7,MG/L,200333095,,WWUNAA,PR OILTPH 01
142A,06-JUL-11,07/06/11,7-6-2015,Err:502,66,66,10:25,ACS,26-JUL-11,,HEM - SGT HEM (Oil and Grease),APPROVED,66,MG/L,200333923,,WWUNAA,PR OILTPH 01
142A,11-JUL-11,07/11/11,7-11-2015,Err:502,115.5,115.5,09:00,ACS,27-JUL-11,,HEM - SGT HEM (Oil and Grease),APPROVED,115.5,MG/L,200334148,,WWUNAA,PR OILTPH 01
142A,18-JUL-11,07/18/11,7-18-2015,Err:502,34.5,34.5,08:20,ACS,19-AUG-11,,HEM - SGT HEM (Oil and Grease),APPROVED,34.5,MG/L,200334566,,WWUNAA,PR OILTPH 01
142A,25-JUL-11,07/25/11,7-25-2015,Err:502,26.5,26.5,09:05,ACS,10-AUG-11,,HEM - SGT HEM (Oil and Grease),APPROVED,26.5,MG/L,200334960,,WWUNAA,PR OILTPH 01
