Interceptor,Manhole,Date,Time,Temp,ph,Tot.Sulfide,Dis.Sulfide,Tot.Iron,FerrousFe
Valley,florken,14-12-05,14:15,70,,3.7,3.6,,
Valley,florken,03-02-06,11:15,69,,4.8,4.3,,
Valley,florken,05-07-06,09:50,78,,5.1,4.7,,
Valley,florken,06-07-06,11:51,79,,5.5,5.4,,
Valley,florken,15-08-06,12:35,79,,1,0.1,76,
Valley,florken,22-08-06,16:20,80.5,,1.7,0.1,117.5,
Valley,florken,26-09-06,11:50,76,,0.3,0.1,90.5,
Valley,florken,18-10-06,10:10,74,,0.2,0.1,67.4,
Valley,florken,17-11-06,11:15,71,,0.4,0.1,82.5,
Valley,florken,29-11-06,08:45,69,,0.2,0.1,56.6,
Valley,florken,13-12-06,15:55,63,,1.2,0.2,3.68,
Valley,florken,13-12-06,16:05,63,,1.6,0.2,,
Valley,florken,27-12-06,15:55,63,,1.4,0.2,10.2,
Valley,florken,10-01-07,13:45,59,,1.2,0.2,,
Valley,florken,13-01-07,12:35,57,,1,0.1,9.2,
Valley,florken,07-02-07,13:45,62,,0.9,0.1,6,
Valley,florken,21-02-07,12:35,62,,1.5,1,,
Valley,florken,06-03-07,,63,,1.6,0.2,,
Valley,florken,21-03-07,13:15,65,,2,0.2,13.45,
Valley,florken,18-04-07,12:50,69,,0.8,0.1,29.7,
Valley,florken,09-05-07,08:15,66,,1.6,0.2,,
Valley,florken,23-05-07,14:15,75,,1,0.2,49,
Valley,florken,05-06-07,11:50,76,,0.7,0.1,,
Valley,florken,20-06-07,12:00,79,,2.3,0.2,47,
Valley,florken,17-07-07,12:15,84,,0.7,0.1,,
Valley,florken,07-08-07,12:30,84,,2,0.1,,
Valley,florken,15-08-07,13:55,86,,1.3,0.1,77,
Valley,florken,05-09-07,12:30,84,,2,0.2,,
Valley,florken,17-09-07,07:05,80.2,,1.4,0.1,,
Valley,florken,17-10-07,12:30,76.3,,1.2,0.1,,
Valley,florken,07-11-07,12:45,73.6,,3,1,,
Valley,florken,04-12-07,16:00,72,,2.7,1,,
Valley,florken,09-01-08,08:25,58,,0.1,0.1,,
Valley,florken,22-01-08,16:55,59,,6,4.2,,
Valley,florken,17-04-08,13:05,69,,1.4,0.1,42.5,
Valley,florken,07-05-08,14:55,70,,0.8,0.1,29.5,
Valley,florken,20-05-08,15:25,70,,0.3,0.1,15.65,
Valley,florken,04-06-08,12:15,71,,0.3,0.1,24.2,
Valley,florken,18-06-08,12:55,76,,0.3,0.2,29,
Valley,florken,09-07-08,11:30,77,,0.3,0.1,28,
Valley,florken,23-07-08,13:45,80,,0.3,0.1,25.2,
Valley,florken,06-08-08,14:50,85,,2.2,1.8,5.25,
Valley,florken,19-08-08,14:30,87,,0.4,0.2,24,
Valley,florken,02-09-08,15:12,88,,0.4,0.1,26,
Valley,florken,24-09-08,13:20,83,,0.7,0.1,90.5,
Valley,florken,22-10-08,13:10,77,,3.5,3,4.45,
Valley,florken,19-11-08,12:30,73,,1.2,1,29.9,
