WONUM,DESCRIPTION,ABCWUA_ADDRESS,PERSONGROUP,ABCWUA_SERVAREA,LOCATION,ASSETNUM,ABCWUA_CALLNUM,ABCWUA_CALLNUM2,WORKTYPE,ABCWUA_SUBWT,ORIGRECORDID,STATUS,STATUSDATE,WOPRIORITY,REPORTDATE,ACTFINISH,ABCWUA_EQNUM,WOEQ1,MAXGISID,MAP_PAGE,PIPE_DIAMETER,PIPE_LENGTH,PIPE_MATERIAL,ABCWUA_MANHOLE_FRM,ABCWUA_MANHOLE_TO,FAILURECODE,PROBLEMCODE,CAUSE,REMEDY,ABCWUA_10CODE,ABCWUA_SPILLAGE,VENDOR,ESTLABHRS,ACTLABHRS,PARENT,RPTDATE_CALPERIOD,RPTDATE_DAYOFWEEK,RPTDATE_HROFDAY,RPTDATE_WEEKOFYEAR,WO_AGING_DAYS,AGING_PERIOD,AGING_PERIOD_COMP
11386936,1042 TOT 264 AS,2400 Kathryn Ave SE,RECCL,AS,RPIPE,281857,260,264,CM,,57381,CLOSE,5/16/13 2:00,5,2/1/13 8:40,2/1/13 9:31,,,RPIPE273132,L-16,8,117,CP,L16514,L16511,PIPE,OVERFLOW,RAGS,CC,10-42,51-100 GAL,,0,2,,201302,FRIDAY   ,8,5,104,GT 90 DAYS,GT 90 DAYS
11386335,10-42 TOT 267 as,6118 ZIMMERMAN AVE NE,RECCL,AS,RPIPE,282316,262,260,CM,,57389,CLOSE,5/17/13 2:00,5,2/1/13 10:00,2/5/13 11:30,,Root Saw needed.,RPIPE273591,J-18,8,328,CP,J18162,J18151,PIPE,OVERFLOW,RAGS,CC,10-42,51-100 GAL,,0,3,,201302,FRIDAY   ,10,5,105,GT 90 DAYS,GT 90 DAYS
11390550,10-42 TOT UNIT 220 AS,Indian School RD & Rita Dr Ne,RECCL,AS,RPIPE,267479,220,220,CM,,57437,CLOSE,7/2/13 2:01,5,2/3/13 8:19,4/2/13 12:47,,Root Saw needed.,RPIPE258754,H-16,8,100,CI,J16082,J16081,PIPE,OVERFLOW,GREASE,CC,10-42,51-100 GAL,,0,2.5,,201302,SUNDAY   ,8,5,149,GT 90 DAYS,GT 90 DAYS
11385720,10-42 TOT 250,Lomas & Juan Tabo Blvd. NE,RECCL,AS,RPIPE,316464,258,250,CM,,57482,CLOSE,7/3/13 2:00,5,2/4/13 15:46,2/4/13 14:15,,,RPIPE307739,J-22,8,333,VCP,J21991,J21993,PIPE,OVERFLOW,GREASE,CC,10-42,101-500 GAL,,0,2.25,,201302,MONDAY   ,15,5,148,GT 90 DAYS,GT 90 DAYS
11387940,10-42 TOT 260-267 as,2103 CARLISLE BLVD NE,RECCL,AS,RPIPE,266143,264,260,CM,,57563,CLOSE,7/2/13 2:01,5,2/6/13 14:51,2/6/13 9:45,,,RPIPE257418,H-16,8,50,CI,H16994,H16992,PIPE,OVERFLOW,RAGS,CC,10-42,51-100 GAL,,0,2,,201302,WEDNESDAY,14,6,145,GT 90 DAYS,GT 90 DAYS
11387964,10-40 TOT 250 -252 AS,3003 GENERAL STILLWELL ST NE,RECCL,AS,RPIPE,279393,252,250,CM,,57560,CLOSE,5/16/13 2:00,5,2/6/13 15:36,2/6/13 9:30,,,RPIPE270668,G-20,8,280,CP,G20826,G20921,PIPE,BACKUP,GREASE,CC,10-40,,,0,2,,201302,WEDNESDAY,15,6,98,GT 90 DAYS,GT 90 DAYS
11389826,10-42 tot 210-,423 MAPLE ST NE,RECCL,AS,RPIPE,287294,211,210,CM,,57704,CLOSE,7/2/13 2:00,4,2/8/13 18:27,2/8/13 19:40,,INFORM RESD'T AT 415 BEFORE WORKING SO THEY REMOVE CLEAN OUT COVERS BASEMENT AT 415 MAPLE FLOODS WHEN WE HC.NOTIFY RESIDENT AND REDUCE PRESSURE. Root Saw needed.,RPIPE278569,K-15,8,300,VCP,K15163,K15167,PIPE,PROPDAM,ROOTS,CC,10-48,,,0,1.25,,201302,FRIDAY   ,18,6,143,GT 90 DAYS,GT 90 DAYS
11389940,10-40 Back-up TOT 230 L14369 - 464 On call - AS,1610 John Street SE SE,RECCL,AS,RPIPE,280846,258,230,CM,,57715,CLOSE,5/14/13 2:04,4,2/9/13 12:58,2/9/13 14:00,,,RPIPE272121,L-14,8,359,CP,L14369,L14464,PIPE,BACKUP,GREASE,CC,10-40,,,0,4.5,,201302,SATURDAY ,12,6,94,GT 90 DAYS,GT 90 DAYS
11390691,10-42 manhole overflow tot 210-211,INDIAN SCHOOL & BROADWAY NE,RECCL,AS,RPIPE,267900,211,210,CM,,57780,CLOSE,7/2/13 2:01,5,2/11/13 19:54,2/11/13 17:35,,,RPIPE259175,H-14,10,495,CP,H14891,H14782,PIPE,OVERFLOW,GRSSDGRV,CC,10-42,51-100 GAL,,0,1.8333333333,,201302,MONDAY   ,19,6,140,GT 90 DAYS,GT 90 DAYS
11392369,10-40 Back-up Slow Sewer TOT 260 - 263 - AS,542 Goliad Court NW,RECCL,AS,RPIPE,267869,263,260,CM,,57850,CLOSE,5/16/13 2:00,5,2/14/13 6:04,2/13/13 11:00,,,RPIPE259144,F-14,8,155,VCP,F14353,F14352,PIPE,BACKUP,GREASE,CC,10-40,,,0,2.6666666667,,201302,THURSDAY ,6,7,91,GT 90 DAYS,GT 90 DAYS
